"Blog","Blog"
"Posts","Beiträge"
"Categories","Kategorien"
"Comments","Kommentare"
"Post Manager","Sende-Manager"
"Add Post","Veröffentlichen"
"ID","ID"
"Title","Titel"
"URL Key","URL Key"
"Created At","Erstellt am"
"Updated At","Aktualisiert An"
"Status","Status"
"Draft","Draft"
"Active","Tätig"
"Inactive","Untätig"
"Category Manager","Category Manager"
"Add Category","Kategorie hinzufügen"
"Category Name","Kategorie Name"
"Comment Manager","Kommentar-Manager"
"Add Comment","Kommentar hinzufügen"
"Comment Id","Kommentar Id"
"Post Title","Sende Titel"
"Name","Name"
"Comment","Kommentar"
"Pending Approval","Pending Approval"
"Delete","Löschen"
"Are you sure?","Sind Sie sicher?"
"Change Status","Status ändern"
"Save Post","Speichern Stellen"
"Delete Post","Löschen des Beitrags"
"Save And Continue Edit","Speichern und weiter bearbeiten"
"Post","Beitrag"
"Post Configuration","Post-Konfiguration"
"This will be appended to the end of the url <br/> eg. if ""my-post"" was entered it could be found at http://www.youstore.com.au/my-post","Dies wird bis zum Ende der URL angehängt werden <br/> zB. wenn ""mein-post"" eingegeben wurde es könnte bei http://www.youstore.com.au/mein-post gefunden werden"
"Publishing Configuration","Publishing-Konfiguration"
"Author Data","Autor Daten"
"Author","Verfasser"
"Show Post Date","Zeigen Post Date"
"Publishing Data","Veröffentlichen von Daten"
"Publish Date","Datum"
"Metadata","Metadaten"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta-Titel"
"Edit Post '%s'","Beitrag editieren Beitrag '%s'"
"Save Category","Speichern Kategorie"
"Delete Category","Kategorie löschen"
"Item Information","Artikeldaten"
"Summary","Zusammenfassung"
"Category","Kategorie"
"Edit Category '%s'","Kategorie bearbeiten '%s'"
"News","Nachrichten"
"Home","Zuhause"
"Go to Home Page","Zur Startseite"
"Go to News","Zu den News"
"There are no posts in this category","Es gibt keine Beiträge in dieser Kategorie"
"test","Test"
"Go to test","Gehe zu testen"
"Item was successfully saved","Artikel wurde erfolgreich gespeichert"
"Lorum Ipsum","Lorum Ipsum"
"Go to Lorum Ipsum","Zur Lorum Ipsum"
"Post was successfully saved","Beitrag wurde erfolgreich gespeichert"
"Understanding Magento Config Xml","Verstehen Magento Config Xml"
"Go to Understanding Magento Config Xml","Zum Verständnis Magento Config Xml"
"Neotheme","Neotheme"
"General","Allgemeine"
"Show draft posts on the frontend on the Following IP Addresses","Zeige Beiträge Entwurf auf dem Frontend auf den folgenden IP-Adressen"
"Automaticly add author's Ip to safe list (above) on post save?","Automaticly hinzufügen Autors Ip sichere Liste (oben) über den Post zu retten?"
"Frontend Url Key","Frontend URL Key"
"the prefix for url identifiers","das Präfix für url Kennungen"
"Time Format to use through Blog","Time Format durch Blog verwenden"
"Full","Vollständige"
"Long","Lange"
"Medium","Medium"
"Short","Kurzfristig"
"Custom","Brauch"
"Customer Group Filtering","Kundengruppe Filterung"
"Custom Date/Time Format","Individuelle Datum / Zeit Format"
"Please see <a target=""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">Zend ISO Format</a> for date format","Bitte sehen <a target = ""_new""  href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">ISO-Format</ a> für Datumsformat"
"Customer Preferences","Kunden Preferences"
"Enable customer blog preferences","Aktivieren Kunde Blog Präferenzen"
"Hide categories without posts?","Verstecken Kategorien ohne Beiträge?"
"Number of comments to show","Anzahl Kommentare zeigen"
"Comment template","Kommentar Vorlage"
"Customer Only - No Approval","Kunden Only - keine Zulassung"
"Facebook Comments","Facebook Kommentare"
"Facebook Widget Width (px)","Facebook Widget Breite (px)"
