"Blog","Blog"
"Posts","Posts"
"Categories","Categories"
"Comments","Comments"
"Post Manager","Post Manager"
"Add Post","Add Post"
"ID","ID"
"Title","Title"
"URL Key","URL Key"
"Created At","Created At"
"Updated At","Updated At"
"Status","Status"
"Draft","Draft"
"Active","Active"
"Inactive","Inactive"
"Category Manager","Category Manager"
"Add Category","Add Category"
"Category Name","Category Name"
"Comment Manager","Comment Manager"
"Add Comment","Add Comment"
"Comment Id","Comment Id"
"Post Title","Post Title"
"Name","Name"
"Comment","Comment"
"Pending Approval","Pending Approval"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change Status","Change Status"
"Save Post","Save Post"
"Delete Post","Delete Post"
"Save And Continue Edit","Save And Continue Edit"
"Post","Post"
"Post Configuration","Post Configuration"
"This will be appended to the end of the url <br/> eg. if ""my-post"" was entered it could be found at http://www.youstore.com.au/my-post","This will be appended to the end of the url <br/> eg. if ""my-post"" was entered it could be found at http://www.youstore.com.au/my-post"
"Publishing Configuration","Publishing Configuration"
"Author Data","Author Data"
"Author","Author"
"Show Post Date","Show Post Date"
"Publishing Data","Publishing Data"
"Publish Date","Publish Date"
"Metadata","Metadata"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Title"
"Edit Post '%s'","Edit Post '%s'"
"Save Category","Save Category"
"Delete Category","Delete Category"
"Item Information","Item Information"
"Summary","Summary"
"Category","Category"
"Edit Category '%s'","Edit Category '%s'"
"News","News"
"Home","Home"
"Go to Home Page","Go to Home Page"
"Go to News","Go to News"
"There are no posts in this category","There are no posts in this category"
"test","test"
"Go to test","Go to test"
"Item was successfully saved","Item was successfully saved"
"Lorum Ipsum","Lorum Ipsum"
"Go to Lorum Ipsum","Go to Lorum Ipsum"
"Post was successfully saved","Post was successfully saved"
"Understanding Magento Config Xml","Understanding Magento Config Xml"
"Go to Understanding Magento Config Xml","Go to Understanding Magento Config Xml"
"Neotheme","Neotheme"
"General","General"
"Show draft posts on the frontend on the Following IP Addresses","Show draft posts on the frontend on the Following IP Addresses"
"Automaticly add author's Ip to safe list (above) on post save?","Automaticly add author's Ip to safe list (above) on post save?"
"Frontend Url Key","Frontend Url Key"
"the prefix for url identifiers","the prefix for url identifiers"
"Time Format to use through Blog","Time Format to use through Blog"
"Full","Full"
"Long","Long"
"Medium","Medium"
"Short","Short"
"Custom","Custom"
"Customer Group Filtering","Customer Group Filtering"
"Custom Date/Time Format","Custom Date/Time Format"
"Please see <a target=""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">Zend ISO Format</a> for date format","Please see <a target=""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">Zend ISO Format</a> for date format"
"Customer Preferences","Customer Preferences"
"Enable customer blog preferences","Enable customer blog preferences"
"Hide categories without posts?","Hide categories without posts?"
"Number of comments to show","Number of comments to show"
"Comment template","Comment template"
"Customer Only - No Approval","Customer Only - No Approval"
"Facebook Comments","Facebook Comments"
"Facebook Widget Width (px)","Facebook Widget Width (px)"
