"Blog","Blog"
"Posts","Mensajes"
"Categories","Categorías"
"Comments","Comentarios"
"Post Manager","Publique Director"
"Add Post","Agregar Mensaje"
"ID","Identificación"
"Title","Título"
"URL Key","Clave URL"
"Created At","Creado el"
"Updated At","Actualizado a las"
"Status","Estado"
"Draft","Borrador"
"Active","Activo"
"Inactive","Inactivo"
"Category Manager","Category Manager"
"Add Category","Añadir categoría"
"Category Name","Nombre Categoría"
"Comment Manager","Comentar Gestor"
"Add Comment","Añadir comentario"
"Comment Id","Comentarios Id"
"Post Title","Publicar Título"
"Name","Nombre"
"Comment","Comentario"
"Pending Approval","Pendiente de aprobación"
"Delete","Borrar"
"Are you sure?","¿Está seguro?"
"Change Status","Cambio de estado"
"Save Post","Guardar Publicación"
"Delete Post","Eliminar mensaje"
"Save And Continue Edit","Guardar y continuar Editar"
"Post","Enviar"
"Post Configuration","Publique configuración"
"This will be appended to the end of the url <br/> eg. if ""my-post"" was entered it could be found at http://www.youstore.com.au/my-post","Esto se añade al final de la URL <br/> ejemplo. si ""mi_post"" se inscribió podría encontrar en http://www.youstore.com.au/mi_post"
"Publishing Configuration","Configuración Publishing"
"Author Data","Datos del autor"
"Author","Autor"
"Show Post Date","Mostrar Mensaje Fecha"
"Publishing Data","Publicar datos"
"Publish Date","Fecha de Publicación"
"Metadata","Metadatos"
"Meta Data","Meta Data"
"Meta Description","Meta Description"
"Meta Keywords","Meta Keywords"
"Meta Title","Meta Título"
"Edit Post '%s'","Editar Mensaje '%s'"
"Save Category","Guardar Categoría"
"Delete Category","Eliminar Categoría"
"Item Information","Información del artículo"
"Summary","Resumen"
"Category","Categoría"
"Edit Category '%s'","Editar categoría '%s'"
"News","Noticias"
"Home","Casa"
"Go to Home Page","Ir a la página principal"
"Go to News","Ir a Noticias"
"There are no posts in this category","No hay envíos en esta categoría"
"test","prueba"
"Go to test","Ir a probar"
"Item was successfully saved","Artículo se ha guardado correctamente"
"Lorum Ipsum","Lorum Ipsum"
"Go to Lorum Ipsum","Ir a Lorum Ipsum"
"Post was successfully saved","Mensaje se ha guardado correctamente"
"Understanding Magento Config Xml","Entender Magento Config Xml"
"Go to Understanding Magento Config Xml","Ir al Entendimiento Magento Config Xml"
"Neotheme","Neotheme"
"General","General"
"Show draft posts on the frontend on the Following IP Addresses","Mostrar proyectos puestos en la interfaz de las direcciones IP siguientes"
"Automaticly add author's Ip to safe list (above) on post save?","Automáticamente agregar Ip del autor a la lista segura (arriba) en el poste de parada?"
"Frontend Url Key","Clave Url Frontend"
"the prefix for url identifiers","el prefijo de identificadores url"
"Time Format to use through Blog","Formato de la hora de usar a través Blog"
"Full","Completo"
"Long","Largo"
"Medium","Medio"
"Short","Corto"
"Custom","Costumbre"
"Customer Group Filtering","Grupo de Clientes Filtrado"
"Custom Date/Time Format","Fecha / hora de formato personalizado"
"Please see <a target=""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">Zend ISO Format</a> for date format","Consulte <a target = ""_new"" href=""http://framework.zend.com/manual/1.12/en/zend.date.constants.html#zend.date.constants.selfdefinedformats"">Formato ISO</ a> para el formato de fecha"
"Customer Preferences","Preferencias Cliente"
"Enable customer blog preferences","Habilitar las preferencias de los clientes del blog"
"Hide categories without posts?","Ocultar categoría sin mensajes?"
"Number of comments to show","Número de comentarios para mostrar"
"Comment template","Opina plantilla"
"Customer Only - No Approval","Sólo al Cliente - No Aprobación"
"Facebook Comments","Facebook Comentando"
"Facebook Widget Width (px)","Facebook Widget Ancho (píxeles)"
