store,websites,attribute_set,type,category_ids,sku,has_options,name,manufacturer,url_key,meta_title,meta_description,image,small_image,thumbnail,gift_message_available,options_container,url_path,thumbnail_label,small_image_label,image_label,price,cost,weight,minimal_price,special_price,msrp,description,meta_keyword,in_depth,dimension,model,activation_information,short_description,custom_layout_update,color,status,tax_class_id,visibility,special_from_date,special_to_date,custom_design_from,custom_design_to,news_from_date,news_to_date,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,low_stock_date,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,stock_status_changed_automatically,use_config_enable_qty_increments,product_name,store_id,product_type_id,product_status_changed,product_changed_websites,processor,memory,hardrive,screensize,computer_manufacturers,shoe_type,gender,shoe_size,shirt_size,country_orgin,finish,room,megapixels,ram_size,cpu_speed,max_resolution,response_time,harddrive_speed,contrast_ratio,msrp_enabled,price_type,sku_type,weight_type,price_view,shipment_type,country_of_manufacture,msrp_display_actual_price_type,page_layout,custom_design,is_recurring,frame_shape
admin,base,Cell Phones,simple,8,n2610,0,Nokia 2610 Phone,Nokia,nokia-2610-phone,Nokia 2610,"Offering advanced media and calling features without breaking the bank, The Nokia 2610 is an easy to use",/n/o/nokia-2610-phone-2.jpg,/n/o/nokia-2610-phone-2.jpg,/n/o/nokia-2610-phone-2.jpg,No,Block after Info Column,nokia-2610-phone.html,,,,149.99,20,3.2,149.99,,,"The Nokia 2610 is an easy to use device that combines multiple messaging options including email, instant messaging, and more. You can even download MP3 ringtones, graphics, and games straight to the phone, or surf the Internet with Cingular's MEdia Net service. It's the perfect complement to Cingular service for those even remotely interested in mobile Web capabilities in an affordable handset.<br><br>

<b>Design</b><br>
Compact and stylish, the 2610 features a candybar design sporting a bright 128 x 128 pixel display capable of displaying over 65,000 colors. Most of the phone's features and on-screen menus are controlled by a center toggle on the control pad. A standard hands-free headphone jack is provided, as are volume control keys, and there's even a ""Go-To"" button that can be assigned by the user for quick access to favorite applications. Lastly, the included speakerphone allows you to talk handsfree, and because the phone sports an internal antenna, there's nothing to snag or break off.

","Nokia 2610, cell, phone, ","<ul>
<ul class""disc"">
<li>Integrated camera with video recorder to capture those special moments<br></li>
<li>Enriched data connections for complete mobile access via Email, MMS, and MEdia Net<br></li>
<li> Personalize with downloadable MP3 and polyphonic Ring tones, Games, and Graphics<br></li>
<li>Use AIM, Yahoo! and MSN Messenger to stay in touch on the go<br></li>
<li>Mobile Internet browser and email</li>
</ul>",4.1 x 1.7 x 0.7 inches ,2610,"Conditional $250 Equipment Discount Included: Your price paid includes an equipment discount of $250 that has been provided to you in exchange for either activating a new, non-substitute line of service or renewing an existing line of service with AT&T and your agreement that for the 181-day period following such activation or renewal you will: (1) pay your balance due to AT&T each month and otherwise maintain your account in good standing; (2) not disconnect this AT&T line of service; (3) not transfer this equipment to another AT&T line of service; (4) not change your AT&T service rate plan to a lower monthly service rate--this includes canceling or removing required PDA, BlackBerry, or smartphone features after your product has shipped; (5) not use this line of service to replace an existing account with AT&T. If these conditions are not met, you hereby authorize Magento to charge your credit card $250 as reimbursement of this equipment discount without need for further approval.","The words ""entry level"" no longer mean ""low-end,"" especially when it comes to the Nokia 2610. Offering advanced media and calling features without breaking the bank",,Black,Enabled,Taxable Goods,"Catalog, Search",,,,,,,996,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Nokia 2610 Phone,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Cell Phones,simple,8,bb8100,0,BlackBerry 8100 Pearl,BlackBerry,blackberry-8100-pearl,BlackBerry 8100 Pearl,"BlackBerry 8100 Pearl sports a large 240 x 260 screen that supports over 65,000 colors-- plenty of real estate to view your e-mails, Web browser content, messaging sessions, and attachments.",/b/l/blackberry-8100-pearl-2.jpg,/b/l/blackberry-8100-pearl-2.jpg,/b/l/blackberry-8100-pearl-2.jpg,No,Block after Info Column,blackberry-8100-pearl.html,,,,349.99,29.99,15.2,349.99,,," Like the BlackBerry 7105t, the BlackBerry 8100 Pearl is 
The BlackBerry 8100 Pearl sports a large 240 x 260 screen that supports over 65,000 colors-- plenty of real estate to view your e-mails, Web browser content, messaging sessions, and attachments. The venerable BlackBerry trackwheel has been replaced on this model with an innovative four-way trackball placed below the screen. On the rear of the handheld, you'll find a 1.3-megapixel camera and a self portrait mirror. The handheld's microSD memory card slot is located inside the device, behind the battery. There's also a standard 2.5mm headset jack that can be used with the included headset, as well as a mini-USB port for data connectivity.","Blackberry, 8100, pearl, cell, phone","<ul>
<ul class=""disc"">
<li> 1.3 mega pixel camera to capture those special moments<br></li>
<li> MP3 player lets you listen to your favorite music on the go<br></li>
<li>Menu and escape keys on the front of the device for easier access<br></li>
<li> Bluetooth technology lets you experience hands free and wire free features<br></li>
<li>Package Contents: phone,AC adapter,software CD,headset,USB cable,sim- card,get started poster,reference guide<br></li>
</ul>",4.2 x 2 x 0.6 inches ,8100,"CONDITIONAL $250 Equipment Discount Included: Your price paid includes an Equipment Discount of $250 that has been provided to you in exchange for activating a new, non-substitute line of service with T-Mobile and your agreement that for the 181-day period following such activation you will (1) pay your balance due to T-Mobile each month and otherwise maintain your account in good standing, (2) not disconnect this T-Mobile line of service, (3) not transfer this equipment to another T-Mobile line of service, (4) not change your T-Mobile service rate plan to a lower monthly service rate--this includes canceling or removing required PDA, BlackBerry, or smartphone features after your product has shipped, (5) not use this line of service to replace an existing account with T-Mobile. If these conditions are not met, you hereby authorize Magento.com to charge your credit card $250 as reimbursement of this Equipment Discount without need for further approval.","The BlackBerry 8100 Pearl is a departure from the form factor of previous BlackBerry devices. This BlackBerry handset is far more phone-like, and RIM's engineers have managed to fit a QWERTY keyboard onto the handset's slim frame.",,Silver,Enabled,Taxable Goods,"Catalog, Search",,,,,,,797,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,BlackBerry 8100 Pearl,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Cell Phones,simple,8,sw810i,0,Sony Ericsson W810i,Sony,sony-ericsson-w810i,Sony Ericsson W810i,"The W810i follows a long tradition of beautifully designed and crafted phones from Sony Ericsson. The same candy-bar style that graced the W800 is here, as is the horizontally-oriented camera unit on the back of the phone, allowing you to hold the phone j",/s/o/sony-ericsson-w810i-2.jpg,/s/o/sony-ericsson-w810i-2.jpg,/s/o/sony-ericsson-w810i-2.jpg,No,Block after Info Column,sony-ericsson-w810i.html,,,,399.99,29.99,13.6,399.99,,,"The W810i's screen sports 176 x 220 pixel resolution with support for 262,000 colors. Quick access buttons below the screen make it easy to control the phone's Walkman music features, while a five-way center button controls most of the phone's menus and features.","Sony, Ericsson ,W810i, cell, phone","<ul>
<ul class=""disc"">
 
<li>Disc2Phone™ music copying software is supplied in the W810 kit and it’s easy to copy songs from your favorite CDs, and PC music folders<br></li>
<li>The built-in W810 2 megapixel digital camera with autofus takes excellent photos and when you need to catch some action, W810 has video too<br></li>
<li>Sharing images and other phone content is easy. Use Bluetooth™, or Multimedia messaging when you want to send images and video<br></li>
<li> Wherever you are, you have high speed access to the internet with EDGE technology<br></li>
<li> A full-function email client in your W810 gives you access to your inbox wherever you go</li>
</ul>", 3.5 x 1.8 x 1 inches,W810i,"Conditional $250 Equipment Discount Included: Your price paid includes an equipment discount of $250 that has been provided to you in exchange for either activating a new, non-substitute line of service or renewing an existing line of service with AT&T and your agreement that for the 181-day period following such activation or renewal you will: (1) pay your balance due to AT&T each month and otherwise maintain your account in good standing; (2) not disconnect this AT&T line of service; (3) not transfer this equipment to another AT&T line of service; (4) not change your AT&T service rate plan to a lower monthly service rate--this includes canceling or removing required PDA, BlackBerry, or smartphone features after your product has shipped; (5) not use this line of service to replace an existing account with AT&T. If these conditions are not met, you hereby authorize Magento.com to charge your credit card $250 as reimbursement of this equipment discount without need for further approval.",The W810i follows a long tradition of beautifully designed and crafted phones from Sony Ericsson. The same candy-bar style that graced the W800 is here.,,Black,Enabled,Taxable Goods,"Catalog, Search",,,,,,,989,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Sony Ericsson W810i,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Cell Phones,simple,8,8525PDA,0,AT&T 8525 PDA,At&t,atandt-8525-pda,AT&T 8525 PDA Phone,"nder the hood, the 8525 features 128MB of embedded memory and 64MB RAM, running on a 400 MHz Samsung processor. Up front, the 240 x 320 LCD touch-screen supports over 65,000 colors, while the rear of the device houses a 2.0 megapixel camera. The design of",/a/t/at-t-8525-pda-1.jpg,/a/t/at-t-8525-pda-1.jpg,/a/t/at-t-8525-pda-1.jpg,No,Block after Info Column,atandt-8525-pda.html,,,,199.99,29.99,30,199.99,,," The design of the 8525 is clean and uncluttered, with just a few buttons for mail, Internet Explorer, and contextual menus. Meanwhile, call answer and end buttons surround a five-way toggle that allows you to navigate and control the Windows Mobile interface. As mentioned, a full QWERTY keyboard cleverly slides out from underneath the screen. This allows you to hold the device horizontally, and the screen is automatically placed in landscape mode when you're using the keyboard. A side scroll wheel is conveniently tucked away on the side, making navigation when accessing the music player and other various applications a cinch when needed. A mini-SD memory expansion card slot is provided, as is an infrared port and support for a stereo Bluetooth headset. A mini-USB port is also included for wired data transfers and charging.","At&t, 8525, cell, phone","<ul>
<ul class=""disc"">
<li>tri-band UMTS/HSDPA; quad-band GSM/GPRS/EDGE for global use<br></li>
<li>Windows Mobile 5.0 with Messaging & Security Feature Pack<br></li>
<li>sliding QWERTY keyboard with improved keypad design and improved backlight for easier use in low light conditions<br></li>
<li>128MB ROM / 64MB RAM; ~51MB user available memory<br></li>
<li>2.0 mega-pixel camera with video capabilities</li>
</ul>",4.4 x 2.4 x 0.9 inches,8525 PDA,"Conditional $250 Equipment Discount Included: Your price paid includes an equipment discount of $250 that has been provided to you in exchange for either activating a new, non-substitute line of service or renewing an existing line of service with AT&T and your agreement that for the 181-day period following such activation or renewal you will: (1) pay your balance due to AT&T each month and otherwise maintain your account in good standing; (2) not disconnect this AT&T line of service; (3) not transfer this equipment to another AT&T line of service; (4) not change your AT&T service rate plan to a lower monthly service rate--this includes canceling or removing required PDA, BlackBerry, or smartphone features after your product has shipped; (5) not use this line of service to replace an existing account with AT&T. If these conditions are not met, you hereby authorize Magento.com to charge your credit card $250 as reimbursement of this equipment discount without need for further approval.","Under the hood, the 8525 features 128MB of embedded memory and 64MB RAM, running on a 400 MHz Samsung processor. Up front, the 240 x 320 LCD touch-screen supports over 65,000 colors, while the rear of the device houses a 2.0 megapixel camera.",,Silver,Enabled,Taxable Goods,"Catalog, Search",,,,,,,328,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,AT&T 8525 PDA,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Cell Phones,simple,8,MM-A900M,0,Samsung MM-A900M Ace,Samsung,samsung-mm-a900m-ace,Samsung MM-A900M Ace Phone,"New services supported by both the MM-A900m include the newly announced Sprint Music StoreSM, which allows users to immediately buy and download complete songs directly to their phone",/s/a/samsung-mm-a900m-ace.jpg,/s/a/samsung-mm-a900m-ace.jpg,/s/a/samsung-mm-a900m-ace.jpg,No,Block after Info Column,samsung-mm-a900m-ace.html,,,,150,29.99,1,150,,,"New services supported by both the MM-A900m include the newly announced Sprint Music StoreSM, which allows users to immediately buy and download complete songs directly to their phone; 30 channels of live and on demand video and audio from Sprint TVSM and On Demand, a personalized resource guide to news, traffic, weather, sports and entertainment. The MM-A900m offers great-looking design with the ability to download a rich selection of content directly to the phone. Features like external music-navigation keys make these phones both functional and attractive. These handsets are sure to be at the top of many wish lists.","Samsung, MM-A900M, cell, phone","<ul>
<ul class=""disc"">
<li>Bluetooth Wireless Technology: Built-in radio technology allows fast, secure transmission between your phone and accessories without cables or wires. Bluetooth wireless accessories are sold separately.<br></li>
<li>Mass Storage Area: Store pictures, videos, voice memos and music within the internal memory of the phone.<br></li>
<li>Streaming Music Enabled: Stream music to your phone with Music Choice®. Select from Pop, Rock, Hip Hop, and R&B plus exclusive video clips, performances, and artist interviews.<br></li>
</ul>
   ",3.9 x 2 x 0.6 inches,MM-A900M,"CONDITIONAL $250 Equipment Discount Included: Your price paid includes an equipment discount of $250 that has been provided to you in exchange for activating a new, non-substitute line of service with Sprint and your agreement that for the 181-day period following such activation you will (1) pay your balance due to Sprint each month and otherwise maintain your account in good standing, (2) not disconnect this Sprint line of service, (3) not transfer this equipment to another Sprint line of service, (4) not change your Sprint service rate plan to a lower monthly service rate--this includes canceling or removing required PDA, BlackBerry, or smartphone features after your product has shipped, and (5) not use this line of service to replace an existing account with Sprint. If these conditions are not met, you hereby authorize Magento.com to charge your credit card $250 as reimbursement of this equipment discount without need for further approval.",The MM-A900m offers great-looking design with the ability to download a rich selection of content directly to the phone. ,,Silver,Enabled,Taxable Goods,"Catalog, Search",,,,,,,361,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Samsung MM-A900M Ace,0,simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Computer,simple,"15,28",MA464LL/A,1,"Apple MacBook Pro MA464LL/A 15.4"" Notebook PC",,apple-macbook-pro-ma464ll-a-15-4-notebook-pc-2-0-ghz-intel-core-duo-1-gb-ram-100-gb-hard-drive-superdrive,"Apple MacBook Pro MA464LL/A 15.4"" Notebook PC (2.0 GHz Intel Core Duo, 1 GB RAM, 100 GB Hard Drive, SuperDrive)","Apple MacBook Pro MA464LL/A 15.4"" Notebook PC (2.0 GHz Intel Core Duo, 1 GB RAM, 100 GB Hard Drive, SuperDrive)",/a/p/apple-macbook-pro-ma464ll-a-15-4-notebook-pc.jpg,/a/p/apple-macbook-pro-ma464ll-a-15-4-notebook-pc.jpg,/a/p/apple-macbook-pro-ma464ll-a-15-4-notebook-pc.jpg,No,Product Info Column,apple-macbook-pro-ma464ll-a-15-4-notebook-pc-2-0-ghz-intel-core-duo-1-gb-ram-100-gb-hard-drive-superdrive.html,,,,2299.99,1299.99,10.6,2299.99,,,"This, combined with myriad other engineering leaps, boosts performance up to four times higher than the PowerBook G4. With this awesome power, it's a breeze to render complex 3D models, enjoy smooth playback of HD video, or host a four-way video conference.Intel Core Duo is the first chip built using Intel's groundbreaking 65-nanometer process - resulting in transistors so small, you could fit a hundred inside a single human cell. With smaller distances for electrons to travel, and two processors designed to share resources and conserve power, Intel Core Duo achieves higher levels of performance as it uses fewer watts. Which is what makes it possible to design a super-powerful MacBook Pro that's only one inch thin.When Mac technology makes something easy, it's hardly news. So here's more non-news for MacBook Pro owners: software just works. If you see the Universal logo on a new application, that means it will run on Intel- and PowerPC-based Mac computers. For most existing applications, you simply do what you've always done: double-click them. Thanks to the Rosetta technology in Mac OS X, they look and feel just like they did before.","Apple MacBook Pro MA464LL/A 15.4"" Notebook PC (2.0 GHz Intel Core Duo, 1 GB RAM, 100 GB Hard Drive, SuperDrive) "," <ul>
<ul class=""disc"">
<li>2.0 GHz Intel Core Duo processor with 2 MB shared L2 Cache<br></li>
<li>1 GB (single SODIMM) 667 MHz DDR2 SDRAM (PC2-5300); 100 GB 5400 rpm Serial ATA hard drive; slot-load SuperDrive (DVD±RW/CD-RW)<br></li>
<li>One FireWire 400, two USB 2.0 ports, and ExpressCard/34 slot; no FireWire 800 slots<br></li>
<li>Built-in 10/100/1000BASE-T (Gigabit); built-in 54 Mbps AirPort Extreme (802.11g); built-in Bluetooth 2.0+EDR<br></li>
<li>15.4-inch TFT widescreen display with 1440 x 900 resolution</li>",19.5 x 7.6 x 19.5 inches,MA464LL/A,,You've seen improvements in notebook performance before - but never on this scale. The Intel Core Duo powering MacBook Pro is actually two processors built into a single chip.,,Silver,Enabled,Taxable Goods,"Catalog, Search",,,,,,,143,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,"Apple MacBook Pro MA464LL/A 15.4"" Notebook PC",0,simple,,,2.0 GHz Intel Core Duo processor with 2 MB shared L2 Cache,1 GB (single SODIMM) 667 MHz DDR2 SDRAM (PC2-5300),100 GB 5400 rpm Serial ATA hard drive,15.4-inch TFT widescreen display with 1440 x 900 resolution,Apple,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Computer,simple,"15,28",LX.FR206.001,1,Acer Ferrari 3200 Notebook Computer PC,,acer-ferrari-3200-notebook-computer-pc,Acer Ferrari 3200 Notebook Computer PC,Acer Ferrari 3200 Notebook Computer PC,/a/c/acer-ferrari-3200-notebook-computer-pc.jpg,/a/c/acer-ferrari-3200-notebook-computer-pc.jpg,/a/c/acer-ferrari-3200-notebook-computer-pc.jpg,No,Block after Info Column,acer-ferrari-3200-notebook-computer-pc.html,,,,1799.99,999.99,11.4,1799.99,,," Acer has flawlessly designed the Ferrari 3200, instilling it with exceptional performance, brilliant graphics, and lightning-fast connectivity. This exclusive edition is another striking symbol of cooperation between Acer and Ferrari -- two progressive companies with proud heritages built on passion, innovation, power and success.",Acer Ferrari 3200 Notebook Computer PC ," <ul>
<ul class=""disc"">
<li>Mobile AMD Athlon 64 2800+<br></li>
<li>1MB L2 Cache<br></li>
<li>512MB of PC2700 DDR333 SDRAM<br></li>
<li>2 RAM Slots (0 open - upgrading requires chip removal)<br></li>
<li>RAM is upgradeable to 2GB</li>
</ul>",,LX.FR206.001,,"This exclusive edition is another striking symbol of cooperation between Acer and Ferrari -- two progressive companies with proud heritages built on passion, innovation, power and success",,Black,Enabled,Taxable Goods,"Catalog, Search",,,,,,,11,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,Acer Ferrari 3200 Notebook Computer PC,0,simple,,,Mobile AMD Athlon 64 2800+,512MB of PC2700 DDR333 SDRAM,80 gig Western Digital,"15-inch, 200-nit, high-brightness TFT LCD screen ",Acer,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Computer,simple,,VGN-TXN27N/B,0,"Sony VAIO VGN-TXN27N/B 11.1"" Notebook PC",,sony-vaio-vgn-txn27n-b-11-1-notebook-pc,"Sony VAIO VGN-TXN27N/B 11.1"" Notebook PC (Intel Core Solo Processor U1500, 2 GB RAM, 100 GB Hard Drive, DVD±RW Drive, Vista Business) Charcoal Black","Sony VAIO VGN-TXN27N/B 11.1"" Notebook PC (Intel Core Solo Processor U1500, 2 GB RAM, 100 GB Hard Drive, DVD±RW Drive, Vista Business) Charcoal Black",/s/o/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.jpg,/s/o/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.jpg,/s/o/sony-vaio-vgn-txn27n-b-11-1-notebook-pc.jpg,No,Block after Info Column,sony-vaio-vgn-txn27n-b-11-1-notebook-pc.html,,,,2699.99,899.99,2.8,2699.99,,," Weighing in at just an amazing 2.84 pounds and offering a sleek, durable carbon-fiber case in charcoal black. And with 4 to 10 hours of standard battery life, it has the stamina to power you through your most demanding applications. With the integrated wireless WAN, you can access the national Sprint Mobile Broadband service to extend your wireless coverage beyond LAN access networks and hotspots, giving you the freedom to go farther, do more, and stay connected.

","Sony, VAIO, VGN-TXN27N/B , Notebook, PC, Intel, 2 GB RAM, Laptop"," <ul>
<ul class=""disc"">
<li>Processor: The Ultra Low Voltage Intel Core Solo U1500 processor offers a 1.33 GHz speed paired with a fast 533 MHz front-side bus and large 2 MB L2 cache. (An L2, or secondary, cache temporarily stores data; and a larger L2 cache can help speed up your system's performance. The FSB carries data between the CPU and RAM, and a faster front-side bus will deliver better overall performance.) The Core Solo processor delivers enhanced performance for today's demanding applications such as CAD tools, 3-D and 2-D modeling, video editing, digital music, digital photography and gaming. And Intel's Smart Cache technology enables smarter, more efficient cache and bus design for enhanced performance, responsiveness and power savings.</li>
</ul>

   ",10.7 x 1.23 x 7.7 inches (WxHxD),VGN-TXN27N/B,,Take a load off your shoulders when you're racing for your plane with the sleekly designed and ultra-portable Sony Vaio VGN-TXN27N/B notebook PC.,,Black,Enabled,Taxable Goods,"Catalog, Search",,,,,,,595,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,"Sony VAIO VGN-TXN27N/B 11.1"" Notebook PC",0,simple,,,Intel Core Solo Processor U1500,2 GB RAM,100 GB Hard Drive,9 inches,Sony,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Computer,simple,"15,28",M285-E,0,"Toshiba M285-E 14""",,toshiba-satellite-a135-s4527-155-4-notebook-pc-intel-pentium-dual-core-processor-t2080-1-gb-ram-120-gb-hard-drive-supermulti-dvd-drive-vista-premium,"Toshiba Satellite A135-S4527 155.4"" Notebook PC (Intel Pentium Dual Core Processor T2080, 1 GB RAM, 120 GB Hard Drive, SuperMulti DVD Drive, Vista Premium)","Toshiba M285-E 14"" Convertible Notebook PC (Intel Core Duo Processor T2300E, 1 GB RAM, 60",/t/o/toshiba-m285-e-14.jpg,/t/o/toshiba-m285-e-14.jpg,/t/o/toshiba-m285-e-14.jpg,No,Block after Info Column,toshiba-satellite-a135-s4527-155-4-notebook-pc-intel-pentium-dual-core-processor-t2080-1-gb-ram-120-gb-hard-drive-supermulti-dvd-drive-vista-premium.html,,,,1599.99,899.99,10,1599.99,,,"Easily mobile at just 6 pounds, the Toshiba Satellite A135-S4527 makes it easy to get your work done with a large, bright 15.4-inch widescreen LCD. The XGA-resolution screen (1280 x 800) permits side-by-side viewing of documents for increased productivity. It's also great for using as a media center, with Toshiba's unique Express Media Player enabling you to bypass the system and access CDs and DVDs with a touch of button. This affordable notebook PC is powered by Intel's 1.73 GHz Core Duo T2080 processor, which provides an optimized, multithreaded architecture for improved gaming and multitasking performance and efficient power consumption. It also offers a 120 GB hard drive, 1 GB of installed RAM (2 GB maximum), dual-layer/multi-format DVD drive that also burns CDs, integrated 54g wireless connectivity, and Intel GMA 950 video card with up to 256 MB of shared video RAM.

","Toshiba, notebook, laptop, intel, "," <ul>
<ul class=""disc"">
<li>Processor: The Intel Core Duo T2080 processor is built with the Mobile Intel 945PM Express chipset, and it has a 1.73 GHz processor speed, fast 533 MHz front-side bus (FSB), and 1 MB L2 cache. (An L2, or secondary, cache temporarily stores data; and a larger L2 cache can help speed up your system's performance. The FSB carries data between the CPU and RAM, and a faster front-side bus will deliver better overall performance.)</li>
</ul>",17 x 7 x 13 inches,M285-E,,Get the competitive edge with the Gateway M285-E. This widescreen Convertible Notebook functions as both a conventional notebook and a tablet.,,Black,Enabled,Taxable Goods,"Catalog, Search",,,,,,,681,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,"Toshiba M285-E 14""",0,simple,,,1.66 GHz Intel Core Duo T2300E processor,1 GB RAM,60 GB hard drive,14-inch screen ,Toshiba,,,,,,,,,,,,,,,,,,,,,,,,,,
admin,base,Shoes,simple,,cn_3,0,CN Clogs Beach/Garden Clog,CN CLogs,cn-clogs-beach-garden-clog-3,CN Clogs Beach/Garden Clog,CN Clogs Beach/Garden Clog,/c/n/cn-clogs-beach-garden-clog-2.jpg,/c/n/cn-clogs-beach-garden-clog-3.jpg,/c/n/cn-clogs-beach-garden-clog-4.jpg,No,Block after Info Column,cn-clogs-beach-garden-clog-3.html,,,,15.99,1,1,15.99,,,"Comfortable and fun to wear these clogs are the latest trend in fashion footwear. Wear them either at the beach, in your garden, at the mall or just about anywhere you would want to be comfortable.",CN Clogs Beach/Garden Clog ,"    * Made of EVA foam
    * Heel strap keeps shoe on foot
    * Non-marking, slip-resistant outsole
    * Weigh just 6-10 ounces

",,B000JI2N0I,,Comfortable and fun to wear these clogs are the latest trend in fashion footwear,,Blue,Enabled,Taxable Goods,Not Visible Individually,,,,,,,16,0,1,0,0,1,1,1,100,1,1,,0,1,0,1,0,1,0,1,0,0,0,1,CN Clogs Beach/Garden Clog,0,simple,,,,,,,,Sandal,Womens,3,,,,,,,,,,,,,,,,,,,,,,,
